id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,weekend_availability_rate,weekday_availability_rate,num_reviews_bin
34177,2025-01-01,unknown,0.0,0.0,True,5.0,5.0,True,True,Besiktas,41.06681,29.04035,Entire home,Entire home/apt,3,1.0,1.0,2.0,"[""Free dryer \u2013 In unit"", ""Extra pillows and blankets"", ""Dishwasher"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Sound system with Bluetooth and aux"", ""City skyline view"", ""Iron"", ""Drying rack for clothing"", ""Wifi"", ""Long term stays allowed"", ""Fire extinguisher"", ""Central air conditioning"", ""Carbon monoxide alarm"", ""Freezer"", ""Oven"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Clothing storage: wardrobe"", ""Microwave"", ""Valley view"", ""Hair dryer"", ""Sea view"", ""Dining table"", ""Washer"", ""Essentials"", ""Mosquito net"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Refrigerator"", ""TV"", ""Heating"", ""Free street parking"", ""First aid kit"", ""Toaster"", ""Dishes and silverware"", ""Coffee maker: french press"", ""Bed linens"", ""Wine glasses"", ""Shared patio or balcony"", ""Hot water kettle""]",1794.0,100,365,4.69,4.69,4.88,4.88,4.81,4.69,4.81,True,5,5,0,0,1.0,0.9952153110047848,4.0
73477,2011-02-09,within an hour,100.0,100.0,True,2.0,2.0,True,True,Beyoglu,41.034447,28.987555,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Window AC unit"", ""Extra pillows and blankets"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""City skyline view"", ""Iron"", ""Drying rack for clothing"", ""Body soap"", ""Wifi"", ""Long term stays allowed"", ""Safe"", ""Clothing storage: closet"", ""Private entrance"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Pets allowed"", ""Dedicated workspace"", ""Hair dryer"", ""Sea view"", ""Pocket wifi"", ""Cleaning products"", ""Essentials"", ""Mosquito net"", ""Refrigerator"", ""Host greets you"", ""Central heating"", ""Shampoo"", ""Free street parking"", ""Smoking allowed"", ""Dishes and silverware"", ""Bed linens""]",2331.0,100,360,5.0,5.0,4.82,5.0,5.0,5.0,4.91,True,2,2,0,0,0.9230769230769232,0.9090909090909092,4.0
88949,2011-04-05,within a few hours,100.0,91.0,True,2.0,2.0,True,True,Beyoglu,41.03319,28.98071,Entire loft,Entire home/apt,4,1.5,2.0,2.0,"[""Self check-in"", ""Cleaning products"", ""Extra pillows and blankets"", ""Body soap"", ""Hangers"", ""Shampoo"", ""Essentials"", ""Iron"", ""Oven"", ""Fire pit"", ""Refrigerator"", ""Drying rack for clothing"", ""Private patio or balcony"", ""52 inch HDTV with premium cable, standard cable"", ""Fast wifi \u2013 56 Mbps"", ""Cooking basics"", ""Pets allowed"", ""Lockbox"", ""Clothing storage: closet, wardrobe, and dresser"", ""Hot water"", ""Private hot tub"", ""Dishwasher"", ""Exercise equipment: yoga mat"", ""Books and reading material"", ""Ar\u00e7elil stainless steel gas stove"", ""Free washer \u2013 In unit"", ""Shower gel"", ""City skyline view"", ""Bed linens"", ""Coffee maker"", ""Heating"", ""Hair dryer"", ""Conditioner"", ""AC - split type ductless system"", ""Kitchen"", ""Dedicated workspace"", ""Dishes and silverware"", ""Long term stays allowed"", ""Luggage dropoff allowed""]",4984.0,100,1125,4.74,4.65,4.7,4.89,4.88,4.96,4.68,True,2,2,0,0,1.0,1.0,6.0
101397,2011-04-24,within an hour,100.0,88.0,True,1.0,2.0,True,True,Beyoglu,41.02937,28.98044,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Iron"", ""Drying rack for clothing"", ""Body soap"", ""Wifi"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Shared backyard \u2013 Fully fenced"", ""Private patio or balcony"", ""Freezer"", ""Hot water"", ""Hangers"", ""Bosch refrigerator"", ""Kitchenette"", ""Hair dryer"", ""Pocket wifi"", ""Cleaning products"", ""Garden view"", ""Paid parking off premises"", ""Essentials"", ""Free washer"", ""Bread maker"", ""Host greets you"", ""Books and reading material"", ""Central heating"", ""Portable fans"", ""Laundromat nearby"", ""Free street parking"", ""First aid kit"", ""Dishes and silverware"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",1668.0,100,110,4.82,4.92,4.96,4.97,4.96,4.92,4.89,True,1,0,1,0,0.7307692307692307,0.722488038277512,6.0
507117,2012-05-30,unknown,0.0,0.0,True,2.0,4.0,True,True,Sisli,41.05739,28.9955,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Pets allowed"", ""BBQ grill"", ""Heating"", ""Hangers"", ""Wifi"", ""Washer"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Kitchen"", ""Private hot tub"", ""Dedicated workspace"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Elevator"", ""Smoking allowed"", ""Outdoor dining area"", ""Air conditioning""]",1507.0,100,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,2,1,1,0,1.0,1.0,1.0
511597,2012-06-01,a few days or more,0.0,88.0,True,1.0,5.0,True,True,Bagcilar,41.03215,28.84375,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,"[""TV"", ""Heating"", ""Wifi"", ""Washer"", ""Kitchen"", ""Smoking allowed"", ""Air conditioning""]",1865.0,100,1125,4.0,4.0,5.0,5.0,5.0,4.0,5.0,True,1,1,0,0,1.0,1.0,1.0
516720,2012-06-04,within a few hours,100.0,0.0,True,1.0,1.0,True,True,Sisli,41.06193,28.98508,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Heating"", ""TV with standard cable"", ""Shampoo"", ""Smoking allowed"", ""Washer"", ""Essentials"", ""Wifi"", ""Kitchen""]",420.0,100,1125,4.76,4.58,4.05,4.82,4.95,4.68,4.76,True,1,0,1,0,0.2884615384615384,0.291866028708134,5.0
519364,2011-11-03,within an hour,100.0,100.0,True,13.0,23.0,True,True,Beyoglu,41.0272,28.97564,Entire rental unit,Entire home/apt,7,1.5,3.0,4.0,"[""Extra pillows and blankets"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Harbor view"", ""City skyline view"", ""Iron"", ""Drying rack for clothing"", ""Babysitter recommendations"", ""Wifi"", ""Long term stays allowed"", ""Crib"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Freezer"", ""Oven"", ""Lockbox"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Bay view"", ""High chair"", ""Microwave"", ""Dedicated workspace"", ""Hair dryer"", ""Glass top hob electric stove"", ""Sea view"", ""Dining table"", ""Cleaning products"", ""Paid parking off premises"", ""Washer"", ""Essentials"", ""Air conditioning"", ""Smoke alarm"", ""Refrigerator"", ""Books and reading material"", ""Baby bath"", ""Portable fans"", ""Self check-in"", ""Heating"", ""Shampoo"", ""HDTV with Amazon Prime Video, Netflix, premium cable, standard cable"", ""First aid kit"", ""Toaster"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Coffee"", ""Bed linens"", ""Ocean view"", ""Wine glasses"", ""Hot water kettle""]",4573.0,2,365,4.85,4.82,4.84,4.92,4.91,4.91,4.77,True,12,12,0,0,0.717948717948718,0.7129186602870813,6.0
519468,2011-11-03,within an hour,100.0,100.0,True,13.0,23.0,True,True,Beyoglu,41.02459,28.97327,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,"[""Lockbox"", ""Paid parking off premises"", ""Self check-in"", ""Long term stays allowed"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Hangers"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Shampoo"", ""Dishes and silverware"", ""Babysitter recommendations"", ""Pack \u2019n play/Travel crib"", ""Dining table"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Baby bath"", ""High chair"", ""Washer"", ""Cooking basics"", ""Freezer"", ""Coffee"", ""Iron"", ""Hair dryer"", ""Sea view"", ""Hot water kettle"", ""Heating"", ""Crib"", ""Microwave"", ""Hot water"", ""Toaster"", ""Portable fans"", ""Patio or balcony"", ""Kitchen"", ""Cleaning products"", ""Fire extinguisher"", ""Harbor view"", ""Oven"", ""Air conditioning"", ""Coffee maker"", ""Dedicated workspace"", ""Clothing storage: closet and dresser"", ""HDTV with Amazon Prime Video, Netflix, premium cable, standard cable"", ""First aid kit""]",3541.0,2,365,4.75,4.78,4.83,4.9,4.9,4.89,4.72,True,12,12,0,0,0.6858974358974359,0.6602870813397129,6.0
520238,2011-11-03,within an hour,100.0,100.0,True,13.0,23.0,True,True,Beyoglu,41.03595,28.97748,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Iron"", ""Portable air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Lockbox"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Dedicated workspace"", ""Hair dryer"", ""Dining table"", ""Paid parking off premises"", ""Washer"", ""Essentials"", ""Smoke alarm"", ""Refrigerator"", ""Self check-in"", ""Cleaning available during stay"", ""Heating"", ""Shampoo"", ""HDTV with Amazon Prime Video, Netflix, premium cable, standard cable"", ""First aid kit"", ""Dishes and silverware"", ""Stove"", ""Coffee maker: french press"", ""Bed linens"", ""Shared patio or balcony"", ""Hot water kettle""]",3216.0,2,60,4.74,4.81,4.83,4.92,4.94,4.63,4.69,True,12,12,0,0,0.7307692307692307,0.7177033492822966,6.0
523882,2012-05-30,unknown,0.0,0.0,True,2.0,4.0,True,True,Sisli,41.05848,28.99525,Entire rental unit,Entire home/apt,8,2.0,3.0,3.0,"[""Outdoor furniture"", ""Extra pillows and blankets"", ""Dishwasher"", ""Outdoor dining area"", ""Cooking basics"", ""Barbecue utensils"", ""Outdoor kitchen"", ""Private BBQ grill: charcoal"", ""Bathtub"", ""City skyline view"", ""Iron"", ""Drying rack for clothing"", ""Body soap"", ""HDTV with Amazon Prime Video, Netflix, standard cable"", ""Wifi"", ""Long term stays allowed"", ""Safe"", ""Patio or balcony"", ""Freezer"", ""Oven"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Baking sheet"", ""Coffee maker: pour-over coffee"", ""Park view"", ""Pets allowed"", ""Blender"", ""Dedicated workspace"", ""Hair dryer"", ""Clothing storage: closet and wardrobe"", ""Dining table"", ""Cleaning products"", ""Washer"", ""Essentials"", ""Mosquito net"", ""Refrigerator"", ""Fire pit"", ""Elevator"", ""Books and reading material"", ""Heating"", ""AC - split type ductless system"", ""Ceiling fan"", ""Smoking allowed"", ""Ethernet connection"", ""Coffee"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Dryer"", ""Hot water kettle""]",2670.0,100,1125,3.0,3.0,3.0,5.0,5.0,3.0,4.0,True,2,1,1,0,1.0,0.9952153110047848,1.0
130289,2010-05-18,a few days or more,0.0,88.0,True,1.0,2.0,True,True,Beyoglu,41.0304,28.98522,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"[""Cooking basics"", ""HDTV with premium cable"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Pets allowed"", ""Beach view"", ""Dedicated workspace"", ""Cleaning products"", ""Washer"", ""Essentials"", ""Mosquito net"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Shampoo"", ""Smoking allowed"", ""Dishes and silverware"", ""Bed linens"", ""Dryer""]",5482.0,100,730,5.0,4.9,5.0,5.0,4.9,4.9,4.8,True,1,1,0,0,1.0,0.9904306220095692,4.0
135858,2011-06-05,within an hour,100.0,100.0,True,3.0,8.0,True,True,Beyoglu,41.04232025146485,28.976089477539062,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Cooking basics"", ""City skyline view"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Mini fridge"", ""Portable heater"", ""Fast wifi \u2013 192 Mbps"", ""Private entrance"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Hangers"", ""Pets allowed"", ""Kitchenette"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Bidet"", ""Dining table"", ""Cleaning products"", ""Essentials"", ""Central heating"", ""Portable fans"", ""Laundromat nearby"", ""Paid parking lot off premises"", ""Free street parking"", ""Dishes and silverware"", ""Coffee maker: french press"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",1226.0,100,730,4.62,4.53,4.32,4.68,4.89,3.63,4.21,True,3,3,0,0,0.7371794871794872,0.7416267942583732,4.0
135956,2011-06-05,within an hour,100.0,100.0,True,6.0,38.0,True,True,Beyoglu,41.02984,28.97569,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""TV with standard cable"", ""Iron"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Wifi \u2013 49 Mbps"", ""Private entrance"", ""Coffee maker"", ""Lockbox"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Dedicated workspace"", ""Hair dryer"", ""Paid parking off premises"", ""Essentials"", ""Refrigerator"", ""Elevator"", ""Self check-in"", ""Heating"", ""Shampoo"", ""Smoking allowed"", ""Ethernet connection"", ""First aid kit"", ""Dishes and silverware"", ""Stove"", ""Bed linens""]",760.0,100,365,4.83,4.86,4.55,4.95,4.9,4.83,4.71,True,6,2,4,0,0.4230769230769231,0.4258373205741627,5.0
140269,2011-06-09,within an hour,100.0,88.0,True,3.0,3.0,True,True,Beyoglu,41.03703,28.97592,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,"[""Carbon monoxide alarm"", ""Dryer"", ""Hangers"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Air conditioning"", ""Wifi"", ""Washer"", ""City skyline view"", ""Coffee maker"", ""Heating"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware""]",2564.0,100,365,4.42,4.73,4.39,4.86,4.88,4.31,4.42,True,2,2,0,0,1.0,1.0,6.0
158618,2011-06-22,unknown,0.0,0.0,True,3.0,8.0,True,True,Beyoglu,41.0383,28.98227,Private room in rental unit,Private room,2,1.0,1.0,2.0,"[""Hair dryer"", ""Heating"", ""TV with standard cable"", ""Shampoo"", ""Private entrance"", ""Carbon monoxide alarm"", ""Iron"", ""First aid kit"", ""Essentials"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher""]",2985.0,100,365,4.58267273452033,4.6156312292358805,4.536973159712995,4.720404651162791,4.7400843741695455,4.644599335548173,4.541681174828892,True,3,0,3,0,1.0,1.0,0.0
166265,2011-07-08,within an hour,100.0,100.0,True,4.0,10.0,True,True,Beyoglu,41.03919,28.98266,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Dishwasher"", ""Luggage dropoff allowed"", ""Cooking basics"", ""TV with standard cable"", ""Iron"", ""Wifi"", ""Crib"", ""Fire extinguisher"", ""Coffee maker"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Hair dryer"", ""Paid parking off premises"", ""Washer"", ""Essentials"", ""Air conditioning"", ""Refrigerator"", ""Host greets you"", ""Heating"", ""Smoking allowed"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Stove""]",2451.0,3,365,4.55,4.64,4.52,4.91,4.9,4.79,4.59,True,8,8,0,0,0.7371794871794872,0.7416267942583732,6.0
170150,2011-07-12,within a few hours,100.0,60.0,True,1.0,3.0,True,True,Uskudar,41.01807403564453,29.068925857543945,Entire home,Entire home/apt,3,1.0,1.0,3.0,"[""Window AC unit"", ""Extra pillows and blankets"", ""Outdoor furniture"", ""Outdoor dining area"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Folding or convertible high chair - available upon request"", ""Iron"", ""Drying rack for clothing"", ""Babysitter recommendations"", ""Wifi"", ""Long term stays allowed"", ""Housekeeping available 4 days a week - available at extra cost"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Private entrance"", ""Shower gel"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Freezer"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Baking sheet"", ""Free residential garage on premises"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Hair dryer"", ""Building staff"", ""Bidet"", ""Dining table"", ""Cleaning products"", ""Single level home"", ""Garden view"", ""Essentials"", ""Mosquito net"", ""Private backyard \u2013 Fully fenced"", ""Stainless steel single oven"", ""Smoke alarm"", ""Refrigerator"", ""Fire pit"", ""Baby bath - available upon request"", ""Other stainless steel gas stove"", ""Books and reading material"", ""Central heating"", ""Self check-in"", ""Laundromat nearby"", ""Shampoo"", ""Ceiling fan"", ""Free street parking"", ""HDTV with standard cable"", ""Dishes and silverware"", ""Bed linens"", ""Children\u2019s books and toys"", ""Hot water kettle""]",1994.0,101,730,4.85,4.87,4.88,4.93,4.95,4.71,4.86,True,1,1,0,0,1.0,1.0,6.0
541989,2012-06-17,a few days or more,0.0,88.0,True,1.0,3.0,True,True,Besiktas,41.07564,29.03602,Entire home,Entire home/apt,4,2.0,2.0,2.0,"[""Dishwasher"", ""Luggage dropoff allowed"", ""Cooking basics"", ""TV with standard cable"", ""Iron"", ""Wifi"", ""Patio or balcony"", ""Coffee maker"", ""Oven"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Hair dryer"", ""Washer"", ""Essentials"", ""Air conditioning"", ""Refrigerator"", ""Backyard"", ""Heating"", ""Shampoo"", ""Free street parking"", ""Dishes and silverware"", ""Dryer""]",8771.0,100,1125,4.83,4.67,4.92,4.92,4.92,4.83,4.83,True,1,1,0,0,0.9807692307692308,0.9808612440191388,4.0
559714,2012-06-26,within an hour,100.0,100.0,True,3.0,3.0,True,True,Fatih,41.00709,28.97905,Entire home,Entire home/apt,7,3.0,5.0,5.0,"[""Free dryer \u2013 In unit"", ""Luggage dropoff allowed"", ""Cooking basics"", ""TV with standard cable"", ""Iron"", ""Drying rack for clothing"", ""Wifi"", ""Long term stays allowed"", ""Crib"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Board games"", ""Private entrance"", ""Shower gel"", ""Carbon monoxide alarm"", ""Freezer"", ""Oven"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Coffee maker: french press, pour-over coffee"", ""Baking sheet"", ""Dedicated workspace"", ""Hair dryer"", ""Dining table"", ""Cleaning products"", ""Paid parking off premises"", ""Washer"", ""Essentials"", ""Mosquito net"", ""Air conditioning"", ""Smoke alarm"", ""Conditioner"", ""Refrigerator"", ""Clothing storage: closet, wardrobe, and dresser"", ""Electric stove"", ""Host greets you"", ""Books and reading material"", ""Central heating"", ""Laundromat nearby"", ""Shampoo"", ""Free street parking"", ""Ethernet connection"", ""First aid kit"", ""Coffee"", ""Toaster"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",9323.0,1,730,4.88,4.85,4.81,4.92,4.96,4.97,4.78,True,3,3,0,0,0.9294871794871796,0.937799043062201,6.0
607323,2012-06-26,within an hour,100.0,100.0,True,3.0,3.0,True,True,Fatih,41.00708,28.97997,Entire serviced apartment,Entire home/apt,3,1.5,2.0,2.0,"[""Free dryer \u2013 In unit"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""TV with standard cable"", ""Iron"", ""Drying rack for clothing"", ""Wifi"", ""Long term stays allowed"", ""Crib"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Freezer"", ""Oven"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Baking sheet"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Hair dryer"", ""Dining table"", ""Cleaning products"", ""Paid parking off premises"", ""Essentials"", ""Mosquito net"", ""Air conditioning"", ""Smoke alarm"", ""Conditioner"", ""Refrigerator"", ""Host greets you"", ""Books and reading material"", ""Central heating"", ""Laundromat nearby"", ""Shampoo"", ""Ethernet connection"", ""First aid kit"", ""Coffee"", ""Toaster"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Stove"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",4662.0,3,730,4.88,4.9,4.86,4.91,4.93,4.97,4.8,True,3,3,0,0,0.9487179487179488,0.937799043062201,6.0
607344,2012-06-26,within an hour,100.0,100.0,True,3.0,3.0,True,True,Fatih,41.00519,28.97907,Entire serviced apartment,Entire home/apt,4,1.5,3.0,3.0,"[""Luggage dropoff allowed"", ""Cooking basics"", ""TV with standard cable"", ""Iron"", ""Drying rack for clothing"", ""Wifi"", ""Long term stays allowed"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Clothing storage: wardrobe and dresser"", ""Crib - always at the listing"", ""Shower gel"", ""Carbon monoxide alarm"", ""Freezer"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Coffee maker: french press, pour-over coffee"", ""Dedicated workspace"", ""Hair dryer"", ""Dining table"", ""Cleaning products"", ""Single level home"", ""Paid parking off premises"", ""Washer"", ""Essentials"", ""Mosquito net"", ""Air conditioning"", ""Smoke alarm"", ""Conditioner"", ""Refrigerator"", ""Host greets you"", ""Books and reading material"", ""Central heating"", ""Laundromat nearby"", ""Shampoo"", ""First aid kit"", ""Coffee"", ""Toaster"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Stove"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",4675.0,3,730,4.89,4.91,4.94,4.98,5.0,5.0,4.83,True,3,3,0,0,0.967948717948718,0.985645933014354,6.0
612327,2012-07-12,within a few hours,100.0,43.0,True,2.0,4.0,True,True,Beyoglu,41.0262,28.97304,Entire condo,Entire home/apt,6,2.0,2.0,4.0,"[""Bay view"", ""Carbon monoxide alarm"", ""Hangers"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Iron"", ""Oven"", ""Refrigerator"", ""Harbor view"", ""Window AC unit"", ""Free dryer \u2013 In unit"", ""Stove"", ""Private patio or balcony"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Sea view"", ""City skyline view"", ""Ocean view"", ""Coffee maker"", ""Heating"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Host greets you""]",6628.0,100,365,4.77,4.85,4.83,4.91,4.88,4.9,4.73,True,1,1,0,0,0.9171974522292994,0.9230769230769232,6.0
183804,2011-07-16,within a day,100.0,100.0,True,8.0,13.0,True,True,Beyoglu,41.02966,28.9824,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Outdoor furniture"", ""Dishwasher"", ""Outdoor dining area"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""Iron"", ""Wifi"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""TV"", ""Heating"", ""Shampoo"", ""AC - split type ductless system"", ""First aid kit"", ""Dishes and silverware"", ""Bed linens""]",1476.0,100,730,4.89,4.85,4.89,4.83,4.98,4.93,4.8,True,4,4,0,0,0.5128205128205128,0.507177033492823,6.0
191058,2011-06-05,within an hour,100.0,100.0,True,6.0,38.0,True,True,Beyoglu,41.0281,28.97585,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Self check-in"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Private entrance"", ""Hangers"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Iron"", ""Portable fans"", ""Oven"", ""Fire extinguisher"", ""Refrigerator"", ""Elevator"", ""Lock on bedroom door"", ""First aid kit"", ""Stove"", ""Lockbox"", ""Cooking basics"", ""Hot water"", ""Dishwasher"", ""Shared patio or balcony"", ""Wifi \u2013 37 Mbps"", ""Smoking allowed"", ""Free washer \u2013 In unit"", ""Coffee maker"", ""Bed linens"", ""Heating"", ""Hair dryer"", ""Kitchen"", ""Dedicated workspace"", ""Dishes and silverware"", ""Ceiling fan"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Paid parking off premises""]",746.0,100,365,4.84,4.94,4.69,4.92,4.89,4.94,4.81,True,6,2,4,0,0.732484076433121,0.7403846153846154,5.0
191069,2011-06-05,within an hour,100.0,100.0,True,6.0,38.0,True,True,Beyoglu,41.02797,28.97626,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Self check-in"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Private entrance"", ""Hangers"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Refrigerator"", ""Elevator"", ""Lock on bedroom door"", ""First aid kit"", ""Stove"", ""Lockbox"", ""Cooking basics"", ""Hot water"", ""Wifi \u2013 41 Mbps"", ""Dishwasher"", ""Smoking allowed"", ""Free washer \u2013 In unit"", ""Coffee maker"", ""Bed linens"", ""Heating"", ""Hair dryer"", ""Kitchen"", ""Dishes and silverware"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Paid parking off premises""]",653.0,100,365,4.71,4.73,4.37,5.0,4.79,4.8,4.63,True,6,2,4,0,0.732484076433121,0.7403846153846154,5.0
199411,2011-08-15,unknown,0.0,0.0,True,1.0,5.0,True,True,Beyoglu,41.02812,28.97732,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hangers"", ""Shampoo"", ""Essentials"", ""Iron"", ""Oven"", ""Refrigerator"", ""Air conditioning"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Smoking allowed"", ""Bed linens"", ""TV"", ""Heating"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Dishes and silverware"", ""Long term stays allowed""]",3986.0,100,1125,4.88,4.96,4.81,4.92,4.94,4.97,4.85,True,1,1,0,0,0.9872611464968152,0.9951923076923076,6.0
220131,2025-01-01,unknown,0.0,0.0,True,10.0,10.0,True,True,Beyoglu,41.02802,28.97515,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Host greets you"", ""Private entrance"", ""Hangers"", ""Shampoo"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Air conditioning"", ""Cooking basics"", ""Pets allowed"", ""Hot water"", ""Wifi"", ""Washer"", ""Smoking allowed"", ""Bed linens"", ""Heating"", ""Hair dryer"", ""Kitchen"", ""Crib"", ""Dishes and silverware"", ""Long term stays allowed"", ""Paid parking off premises""]",1766.0,100,365,4.64,4.69,4.65,4.83,4.83,4.94,4.65,True,10,6,4,0,1.0,1.0,6.0
